"","Year","Date","DayOfWeek","HolidayName","Type"
"18111",2007,"Jul 4","Wednesday","Independence Day","Federal Holiday"
"2097",2007,"Sep 3","Monday","Labor Day","Federal Holiday"
"2497",2007,"Oct 8","Monday","Columbus Day","Federal Holiday"
"28111",2007,"Nov 11","Sunday","Veterans Day","Federal Holiday"
"29111",2007,"Nov 22","Thursday","Thanksgiving Day","Federal Holiday"
"3281",2007,"Dec 25","Tuesday","Christmas Day","Federal Holiday"
"358",2008,"Jan 1","Tuesday","New Year's Day","Federal Holiday"
"1329",2008,"Jan 21","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4112",2008,"Feb 18","Monday","Presidents' Day","Federal Holiday"
"1588",2008,"May 26","Monday","Memorial Day","Federal Holiday"
"1888",2008,"Jul 4","Friday","Independence Day","Federal Holiday"
"2188",2008,"Sep 1","Monday","Labor Day","Federal Holiday"
"2658",2008,"Oct 13","Monday","Columbus Day","Federal Holiday"
"2987",2008,"Nov 11","Tuesday","Veterans Day","Federal Holiday"
"3095",2008,"Nov 27","Thursday","Thanksgiving Day","Federal Holiday"
"3451",2008,"Dec 25","Thursday","Christmas Day","Federal Holiday"
"360",2009,"Jan 1","Thursday","New Year's Day","Federal Holiday"
"1030",2009,"Jan 19","Monday","Martin Luther King Jr. Day","Federal Holiday"
"389",2009,"Feb 16","Monday","Presidents' Day","Federal Holiday"
"1559",2009,"May 25","Monday","Memorial Day","Federal Holiday"
"1899",2009,"Jul 3","Friday","Independence Day observed","Federal Holiday"
"19113",2009,"Jul 4","Saturday","Independence Day","Federal Holiday"
"2239",2009,"Sep 7","Monday","Labor Day","Federal Holiday"
"27113",2009,"Oct 12","Monday","Columbus Day","Federal Holiday"
"30112",2009,"Nov 11","Wednesday","Veterans Day","Federal Holiday"
"3146",2009,"Nov 26","Thursday","Thanksgiving Day","Federal Holiday"
"3531",2009,"Dec 25","Friday","Christmas Day","Federal Holiday"
"370",2010,"Jan 1","Friday","New Year's Day","Federal Holiday"
"1040",2010,"Jan 18","Monday","Martin Luther King Jr. Day","Federal Holiday"
"3610",2010,"Feb 15","Monday","Presidents' Day","Federal Holiday"
"16410",2010,"May 31","Monday","Memorial Day","Federal Holiday"
"19310",2010,"Jul 4","Sunday","Independence Day","Federal Holiday"
"19410",2010,"Jul 5","Monday","Independence Day observed","Federal Holiday"
"23010",2010,"Sep 6","Monday","Labor Day","Federal Holiday"
"27610",2010,"Oct 11","Monday","Columbus Day","Federal Holiday"
"3107",2010,"Nov 11","Thursday","Veterans Day","Federal Holiday"
"3236",2010,"Nov 25","Thursday","Thanksgiving Day","Federal Holiday"
"3601",2010,"Dec 24","Friday","Christmas Day observed","Federal Holiday"
"3631",2010,"Dec 25","Saturday","Christmas Day","Federal Holiday"
"3661",2010,"Dec 31","Friday","New Year's Day observed","Federal Holiday"
"390",2011,"Jan 1","Saturday","New Year's Day","Federal Holiday"
"1050",2011,"Jan 17","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4115",2011,"Feb 21","Monday","Presidents' Day","Federal Holiday"
"16611",2011,"May 30","Monday","Memorial Day","Federal Holiday"
"20711",2011,"Jul 4","Monday","Independence Day","Federal Holiday"
"24611",2011,"Sep 5","Monday","Labor Day","Federal Holiday"
"28811",2011,"Oct 10","Monday","Columbus Day","Federal Holiday"
"3246",2011,"Nov 11","Friday","Veterans Day","Federal Holiday"
"3364",2011,"Nov 24","Thursday","Thanksgiving Day","Federal Holiday"
"3771",2011,"Dec 25","Sunday","Christmas Day","Federal Holiday"
"3791",2011,"Dec 26","Monday","Christmas Day observed","Federal Holiday"
"3100",2012,"Jan 1","Sunday","New Year's Day","Federal Holiday"
"460",2012,"Jan 2","Monday","New Year's Day observed","Federal Holiday"
