"","id","original_title","genres","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi"
"44","9312","mortalkombat","[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","1995-08-18",122195920,"18000000",101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"45","577","todiefor","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","1995-05-20",21284514,"20000000",106,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"46","11861","howtomakeanamericanquilt","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-10-06",23574130,"10000000",116,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"47","807","se7en","[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","1995-09-22",327311859,"33000000",127,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"48","10530","pocahontas","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","1995-06-14",346079773,"55000000",81,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"50","629","theusualsuspects","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","1995-07-19",23341568,"6000000",106,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"52","11448","mightyaphrodite","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","1995-09-13",6700000,"15000000",95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"57","9089","homefortheholidays","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-11-02",17519169,"0",103,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"62","2054","mrhollandsopus","[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","1995-12-29",106269971,"0",137,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"66","11525","lawnmowerman2beyondcyberspace","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","1996-01-12",2409225,"0",92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"69","10634","friday","[{'id': 35, 'name': 'Comedy'}]","1995-04-26",28215918,"3500000",91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","755","fromdusktilldawn","[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","1996-01-19",25836616,"19000000",108,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"71","11859","fairgame","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]","1995-11-03",11534477,"50000000",91,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"72","28387","kickingandscreaming","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-10-06",718490,"0",96,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"74","20927","bedofroses","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1996-01-26",19030691,"0",87,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"75","36929","bigbully","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","1996-01-26",2042530,"15000000",90,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","9102","screamers","[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","1995-09-08",5781885,"20000000",108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"81","400","thingstodoindenverwhenyouredead","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","1995-12-01",529766,"8000000",116,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"86","10534","whitesquall","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]","1996-02-02",10300000,"38000000",129,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"88","13997","blacksheep","[{'id': 35, 'name': 'Comedy'}]","1996-02-01",32,"0",87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
