"","Actor","Director","id"
"3712","martha higareda","fernando sariñana",20223
"3713","amber heard","jess manafort",20224
"3714","els dottermans","hilde van mieghem",20226
"3715","dolph lundgren","danny lerner",20236
"3716","don knotts","alan rafkin",20238
"3717","larry b scott","rusty cundieff",20239
"3718","edward g robinson","orson welles",20246
"3719","gretchen mol","william olsson",20263
"3720","holt boggs","william kaufman",20270
"3721","dean jones","norman tokar",20277
"3722","bud abbott","charles barton",20278
"3723","nick nolte","walter hill",20287
"3724","akshay kumar","anees bazmee",20294
"3725","anil kapoor","vivek agnihotri",20296
"3726","joan crawford","otto preminger",20301
"3727","leonard nimoy","menachem daum",20302
"3728",NA,"stephanie black",20303
"3729","dmx","ernest r dickerson",20304
"3730","william shatner","peter kuran",20305
"3731","kevin spacey","george huang",20306
"3732","kiefer sutherland","jack sholder",20307
"3733","amber tamblyn","hilary brougher",20308
"3734","nastassja kinski","sharon von wietersheim",20310
"3735","eric bana","eric bana",20311
"3736","leonardo sbaraglia","antonio hernández",20316
"3737","nick nolte","keith gordon",20318
"3738","<U+043C><U+043E><U+0440><U+0440><U+0438><U+0441> <U+0447><U+0435><U+0441><U+0442><U+043D><U+0430><U+0442>","gary hardwick",20322
"3739","jim caviezel","jamie blanks",20323
"3740","michael redgrave","anthony asquith",20324
"3741","shunji fujimura","hideo nakata",20329
"3742","dana andrews","fritz lang",20330
"3743","mickey rourke","geoff murphy",20333
"3744","margaret sullavan","ernst lubitsch",20334
"3745","martin lawrence","martin lawrence",20337
"3746","jay chou","jay chou",20342
"3747","nelson eddy","robert cormack",20343
"3748","takeshi kitano","takeshi kitano",20347
"3749","kevin costner","kevin reynolds",20348
"3750","akshay kumar","neeraj vora",20359
"3751","akshay kumar","vipul amrutlal shah",20360
"3752","paul reubens","paul reubens",20363
"3753","akshaye khanna","priyadarshan",20364
"3754","tom neal","edgar g ulmer",20367
"3755","jack fjeldstad","arne skouen",20372
"3756","kai lehtinen","tapio piirainen",20375
"3757","deanna oliver","robert c ramirez",20377
"3758","c thomas howell","louis morneau",20381
"3759","zach galifianakis","jared drake",20382
"3760","koen de bouw","frank van mechelen",20388
"3761","iben hjejle","kathrine windfeld",20389
"3762","anil kapoor","anees bazmee",20390
"3763","lee marvin","joshua logan",20391
"3764","elizabeth reaser","maria maggenti",20405
"3765","nicholas gonzalez","jeff crook",20406
"3766","scott innes","jim stenstrum",20410
"3767","jean claude van damme","simon fellows",20411
"3768","sanjay dutt","indra kumar",20413
"3769","jim lovell","al reinert",20423
"3770","jimmy hunt","william cameron menzies",20424
"3771","krista allen","charlie loventhal",20430
"3772","anna tsuchiya","mika ninagawa",20431
"3773","jewel staite","jörg ihle",20432
"3774","pierce brosnan","david jackson",20435
"3775","shaun white","kemp curly",20436
"3776","anthony michael hall","bud smith",20443
"3777","jack lemmon","arthur hiller",20444
"3778","konstantin khabenskiy","karen oganesyan",20449
"3779","lara jill miller","mamoru hosoda",20455
"3780","janeane garofalo","mark joffe",20457
"3781","craig ferguson","kevin allen",20468
"3782","richard benjamin","howard r cohen",20472
"3783","harman baweja","harry baweja",20493
"3784","denise richards","maría lidón",20502
"3785","koji yakusho","shôhei imamura",20506
"3786","priyanka kothari","ram gopal varma",20507
"3787","eileen april boylan","john humber",20513
"3788","junichi okada","hirokazu koreeda",20525
"3789","takuya kimura","yôji yamada",20527
"3790","toshiro mifune","hiroshi inagaki",20528
"3791","reena shah","nina paley",20529
"3792","chikage awashima","yasujiro ozu",20531
"3793","mallika sherawat","anurag basu",20534
"3794","daniel day lewis","nicholas hytner",20539
"3795","rod steiger","sidney lumet",20540
"3796","niilo syväoja","dome karukoski",20548
"3797",NA,"michael apted",20553
"3798","john lennon","michael lindsay hogg",20556
"3799","frank welker","joe sichta",20558
"3800",NA,"michael apted",20561
"3801",NA,"michael apted",20562
"3802","gregory smith","rick rosenthal",20564
"3803","bruce balden","michael apted",20565
"3804","reiko ike","norifumi suzuki",20567
"3805","erin cottrell","michael landon jr",20583
"3806","emily booth","alex chandon",20591
"3807","bill basch","james moll",20595
"3808","antonio resines","josé luis cuerda",20607
"3809","rock hudson","john frankenheimer",20620
"3810","konkona sen sharma","madhur bhandarkar",20623
"3811","groucho marx","robert florey",20625
"3812","william h macy","henry bromell",20637
"3813","ed asner","vincent mceveety",20639
"3814","january jones","michael landon jr",20641
"3815","richard gere","akira kurosawa",20645
"3816","narimi arimori","takashi miike",20646
"3817","harvey keitel","spike lee",20649
"3818","arthur v johnson","d w griffith",20650
"3819","adam tønsberg","bille august",20661
"3820","humphrey bogart","john cromwell",20663
"3821","powers boothe","jack sholder",20674
"3822","walter huston","charles brabin",20675
"3823","laurence fishburne","bill duke",20676
"3824","damon wayans","mike binder",20678
"3825","george carlin","rocco urbisci",20679
"3826","christopher walken","john irvin",20681
"3827","hiroka oyama","yasuhiro yoshiura",20683
"3828","shahid kapoor","vishal bhardwaj",20688
"3829","elsa pataky","nicolás lópez",20693
"3830","heather graham","simon fellows",20695
"3831","kirk jones","kirk jones",20700
"3832","scott bakula","stan dragoti",20704
"3833","theresa russell","ken russell",20712
"3834","hank azaria","gábor csupó",20715
"3835","monica potter","jon sherman",20718
"3836","marek kondrat","marek koterski",20719
"3837","gabriel iglesias","manny rodriguez",20720
"3838","chuck norris","andrew davis",20721
"3839","rick moranis","duwayne dunham",20726
"3840","bipasha basu","vikram bhatt",20731
"3841","christina ricci","bob spiers",20735
"3842","kevin zegers","charles martin smith",20737
"3843","kevin zegers","bill bannerman",20755
"3844","eric idle","dick sebast",20756
"3845","samuel l jackson","reginald hudlin",20759
"3846","tia carrere","michael labash",20760
"3847","antonio banderas","ron shelton",20761
"3848","tom berenger","robert mandel",20762
"3849","tabu","madhur bhandarkar",20769
"3850","natasha lyonne","jamie babbit",20770
"3851","adam west","paul a kaufman",20776
"3852","michael madsen","parviz saghizadeh",20782
"3853","david attenborough","david attenborough",20784
"3854","jerry nelson","jim henson",20785
"3855","jesse james","rocco devilliers",20789
"3856","diana dors","j lee thompson",20806
"3857","jet li","tsui hark",20811
"3858","arshad warsi","jaideep sen",20832
"3859","jim gaffigan","troy miller",20837
"3860","alan ormsby","bob clark",20842
"3861","dyanne thorne","don edmonds",20850
"3862","keanu reeves","brian robbins",20857
"3863","sterling hayden","frank pierson",20863
"3864","leonid kuravlyov","georgiy daneliya",20870
"3865","yuriy nikulin","leonid gayday",20873
"3866","aleksandr demyanenko","leonid gayday",20878
"3867","vladimir samoylov","andrei tutyshkin",20879
"3868","charles hubbell","christian t petersen",20880
"3869","86719","aleksandr rogozhkin",20882
"3870","86719","aleksandr rogozhkin",20883
"3871","sergei yursky","gennadi poloka",20885
"3872","olga yukina","aleksandr rou",20891
"3873","justin ament","dean alioto",20893
"3874","boris bystrov","boris rytsarev",20898
"3875","dmitri iosifov","leonid nechayev",20899
"3876","john turturro","spike lee",20912
"3877","sharman joshi","n chandra",20916
"3878","eriko satô","hideaki anno",20921
"3879","christian slater","michael goldenberg",20927
"3880","anil kapoor","subhash ghai",20929
"3881","john abraham","milan luthria",20931
"3882","aleksandr khvylya","aleksandr rou",20932
"3883","tatyana klyuyeva","aleksandr rou",20934
"3884","oleg anofriev","aleksandr ptushko",20946
"3885","lev durov","richard viktorov",20947
"3886","lev durov","richard viktorov",20949
"3887","colm feore","françois girard",20967
"3888","song il gook","oh ki hwan",20969
"3889","nadezhda rumyantseva","yuri chulyukin",20975
"3890","nadezhda rumyantseva","aleksei mishurin",20977
"3891","gérard depardieu","gérard lauzier",20978
"3892","pat morita","james lew",20989
"3893","viktor sukhorukov","aleksey balabanov",20994
"3894","billy corgan","jack gulick",20996
"3895","steve bell","paul oremland",21001
"3896","daryl sabara","scott marshall",21014
"3897","meat loaf","alan rudolph",21024
"3898","milutin miloševic","jovan b todorovic",21026
"3899","vera alentova","vladimir menshov",21028
"3900","robert carradine","steve zacharias",21029
"3901","beverly d angelo","jack fisk",21030
"3902","frederic forrest","john frankenheimer",21038
"3903","ewan mcgregor","james dearden",21039
"3904","predrag miki manojlovic","emir kusturica",21042
"3905","john leguizamo","galen t chu",21044
"3906","billy bob thornton","ed solomon",21052
"3907","wei wei","fei mu",21058
"3908","jack plotnick","richard day",21059
"3909","keri jo chapman","kelli herd",21060
"3910","michael koch","mike eschmann",21062
"3911","bernard blier","georges lautner",21070
"3912","kenneth branagh","lutz hachmeister",21073
"3913","yang dong geun","yang yun ho",21115
"3914","bill paxton","carl franklin",21128
"3915","geoffrey rush","adam elliot",21131
"3916","denis leary","ted demme",21132
"3917","alice bag","penelope spheeris",21137
"3918","sarah deakins","william dear",21138
"3919","crispin glover","william dear",21141
"3920","howard keel","steve sekely",21143
"3921","kim richards","norman tokar",21147
"3922","michael behe","randy olson",21153
"3923","hrithik roshan","farhan akhtar",21175
"3924","denis leary","campbell scott",21176
"3925","nicole beharie","tim disney",21179
"3926","joe benoit","sally george",21182
"3927","samuel l jackson","carlo carlei",21183
"3928","julia migenes","francesco rosi",21193
"3929","daniela schmidt","issa lópez",21194
"3930","sandrine bonnaire","patrice leconte",21200
"3931","ying huang","frédéric mitterrand",21202
"3932","john melendez","michael delorenzo",21214
"3933","christian slater","michael karbelnikoff",21219
"3934","dave sheridan","arlene sanford",21220
"3935","kenneth connor","gerald thomas",21240
"3936","tommi mujunen","simo halinen",21244
"3937","gregory smith","josh stolberg",21246
"3938","ray winstone","gary oldman",21252
"3939","alan arkin","bruno barreto",21253
"3940","george segal","ivan passer",21256
"3941","irrfan khan","vishal bhardwaj",21265
"3942","james mcavoy","anders rønnow klarlund",21290
"3943","robbie coltrane","wilson coneybeare",21293
"3944","john savage","charles jarrott",21294
"3945","ranbir kapoor","karan johar",21297
"3946","crispin glover","tim hunter",21309
"3947","kim basinger","hugh hudson",21311
"3948","hayley williams","brandon chesbro",21317
"3949","kevin bacon","thomas michael donnelly",21332
"3950","mohammad amir naji","majid majidi",21334
"3951","laurence olivier","richard attenborough",21335
"3952","lucille ball","henry hathaway",21336
"3953","leo gregory","eitan arrusi",21343
"3954","doudou gueye thiaw","michel ocelot",21348
"3955","susan sarandon","wayne wang",21349
"3956","matt damon","billy bob thornton",21355
"3957","catherine aymerie","emmanuel kervyn",21381
"3958","wayne allwine","donovan cook",21385
"3959","tim conner","will vinton",21386
"3960","allan edwall","olle hellbom",21393
"3961","jordan ladd","paul solet",21398
"3962","antonio larreta","carlos sorin",21409
"3963","shia labeouf","kyle rankin",21413
"3964","gad elmaleh","francis veber",21427
"3965","rachel avery","steven dieveney",21431
"3966","steve guttenberg","malcolm mowbray",21433
"3967","tatsuya mihashi","woody allen",21449
"3968","ray milland","fritz lang",21451
"3969","minami takayama","kenji kodama",21452
"3970","yuusaku yara","yoshiaki kawajiri",21453
"3971","dharmendra","hrishikesh mukherjee",21459
"3972","sanjay dutt","rajkumar hirani",21461
"3973","naseeruddin shah","shekhar kapur",21462
"3974","raj kapoor","raj kapoor",21466
"3975","mike vogel","alex merkin",21469
"3976","tia mowry","stuart gillard",21481
"3977","sami bouajila","olivier ducastel",21488
"3978","jon voight","ronald neame",21489
"3979","toshiro mifune","akira kurosawa",21490
"3980","jacqueline bisset","lewis john carlino",21500
"3981",NA,"gonzalo arijón",21508
"3982","mark hengst","gregg simon",21509
"3983","kristen riter","michael ritchie",21515
"3984","kevin zegers","robert vince",21518
"3985","jackie chan","jackie chan",21519
"3986","jackie chan","jackie chan",21521
"3987","yuen biao","stephen fung",21522
"3988","tupac amaru shakur","lauren lazin",21525
"3989","lee sung jae","bong joon ho",21531
"3990","beau bridges","philip spink",21533
"3991",NA,"naohisa inoue",21534
"3992","henrik mestad","atle knudsen",21535
"3993","philip michael thomas","sam o steen",21554
"3994","abhay deol","imtiaz ali",21555
"3995","glenn ford","fritz lang",21564
"3996","sébastien ricard","jean philippe duval",21581
"3997","robin williams","don mischer",21585
"3998","jon stewart","beth mccarthy miller",21587
"3999","hugh dillon","bruce mcdonald",21589
"4000","anne baxter","fritz lang",21594
"4001","benoît verhaert","pierre paul renders",21596
"4002","bruce cook","peter hewitt",21605
"4003","sylvester stallone","bruce malmuth",21610
"4004","christopher walken","abel ferrara",21612
"4005","bunta sugawara","kinji fukasaku",21613
"4006","akshay kumar","priyadarshan",21614
"4007","bárbara lombardo","gaston biraben",21616
"4008","danielle cormack","harry sinclair",21620
"4009","louise lasser","sam raimi",21627
"4010","ryan kelley","russell mulcahy",21634
"4011","sarah jones","lou diamond phillips",21636
"4012","david wenham","paul cox",21644
"4013","kevin zegers","richard martin",21661
"4014","kelly sheridan","kallan kagan",21705
"4015","shin eun kyung","cho jin gyu",21707
"4016","reinhold aman","steve anderson",21710
"4017","robert redford","michael ritchie",21711
"4018","mark borchardt","mark borchardt",21714
"4019","owen wilson","hampton fancher",21719
"4020","tom berenger","martin davidson",21721
"4021","jackie chan","sammo hung",21733
"4022","liam neeson","david breashears",21736
"4023","james whitmore","graeme ferguson",21741
"4024","joep truijen","willem van de sande bakhuyzen",21751
"4025","tony ramos","daniel filho",21752
"4026","shiri appleby","ryan little",21753
"4027",NA,"alan peterson",21754
"4028","ryoka yuzuki","katsuhito akiyama",21769
"4029","monica bellucci","guillaume nicloux",21775
"4030","albert dupontel","nicolas boukhrief",21776
"4031","marina foïs","alain chabat",21778
"4032","ashley johnson","ian toynton",21780
"4033","kam wu seong","song il gon",21781
"4034","chiaki kuriyama","sion sono",21784
"4035","nam sang mi","kim tae kyung",21792
"4036","leelee sobieski","donato rotunno",21794
"4037","donovan leitch","rospo pallenberg",21799
"4038","ryan gosling","andrew j smith",21801
"4039","tom murphy","lenny abrahamson",21810
"4040","dean cameron","damian lee",21811
"4041","anupam kher","n chandra",21822
"4042","jay laisne","neil johnson",21836
"4043","alexander chaplin","john murlowski",21837
"4044","bruce davison","gordon hessler",21840
"4045","jon ray","t michael conway",21841
"4046","helena bergström","susanne bier",21842
"4047","thomas ian nicholas","daniel stern",21845
"4048","william shatner","peter kuran",21846
"4049","kim delaney","john lafia",21847
"4050","andy griffith","elia kazan",21849
"4051","armand assante","bryan goeres",21851
"4052","sophie marceau","lisa azuelos",21861
"4053","nick chinlund","steven r monroe",21864
"4054","clint eastwood","clint eastwood",21866
"4055","helena bonham carter","trevor nunn",21867
"4056","pierce brosnan","bruce beresford",21868
"4057","albert finney","michael crichton",21874
"4058","frank sinatra","mark robson",21876
"4059","ray liotta","james cotten",21878
"4060","burt reynolds","burt reynolds",21882
"4061","nigel davenport","cornel wilde",21886
"4062","robert duvall","lewis john carlino",21887
"4063","jennifer love hewitt","dana lustig",21891
"4064","loes luca","pieter kramer",21896
"4065","sanjay dutt","leena yadav",21905
"4066","bobby deol","rajiv rai",21906
"4067","jamie foxx","jeff pollack",21915
"4068",NA,"godfrey reggio",21925
"4069","thora birch","ray gower",21927
"4070","brittany curran","alex zamm",21935
"4071","jean dujardin","franck mancuso",21946
"4072","yvette mimieux","michael miller",21950
"4073","frank welker","scott jeralds",21956
"4074","bette davis","john hough",21970
"4075","shad moss","john schultz",21972
"4076","amitabh bachchan","vipul amrutlal shah",21982
"4077","stephen graham","pat holden",21988
"4078","alec baldwin","david mamet",21991
"4079","woody harrelson","ron mann",22010
"4080","burt lancaster","richard brooks",22013
"4081","ahidjo mahamat moussa","mahamat saleh haroun",22014
"4082","john daniels","greydon clark",22020
"4083","filip peeters","frank van mechelen",22034
"4084","pam grier","jack hill",22048
"4085","billie piper","david smith",22060
"4086","allen payne","doug mchenry",22067
"4087","alanna chisholm","brett sullivan",22072
"4088","michael moore","michael moore",22074
"4089","emily osment","paul hoen",22084
"4090","charles martin smith","pierre gill",22085
"4091","miguel ángel hoppe","julián hernández",22093
"4092","cillian murphy","paul soter",22100
"4093","marisa tomei","ariel vromen",22105
"4094","nikolay grinko","konstantin lopushanskiy",22114
"4095","chen kuan tai","liu chia liang",22124
"4096","nadia farès","florent emilio siri",22156
"4097","thomas ian nicholas","robert l levy",22162
"4098","michael jai white","ben ramsey",22164
"4099","ving rhames","blair underwood",22165
"4100","ed harris","george a romero",22167
"4101","zoë lund","abel ferrara",22171
"4102","drew seeley","nicholaus goossen",22175
"4103","dexter fletcher","steven rumbelow",22177
"4104","brian donlevy","fritz lang",22178
"4105","luca argentero","claudio cupellini",22182
"4106","gösta ekman","mikael ekman",22192
"4107","robert carlyle","shane meadows",22200
"4108","burt lancaster","john sturges",22201
"4109","leelee sobieski","roger young",22211
"4110","wesley snipes","james b harris",22213
"4111","vincent d onofrio","brad anderson",22230
"4112","doris day","norman jewison",22233
"4113","hiam abbass","eran riklis",22238
"4114","thierry lhermitte","claude zidi",22240
"4115","naseeruddin shah","nandita das",22241
"4116","bryan brown","david caesar",22242
"4117","billy warlock","brian yuzna",22244
"4118","billy crudup","robert towne",22256
"4119","jan machulski","juliusz machulski",22257
"4120","jeff bennett","mark baldo",22259
"4121","danger mouse","andreas johnsen",22285
"4122","willie nelson","jerry schatzberg",22288
"4123","susan tom","jonathan karsh",22289
"4124","gene tierney","joseph l mankiewicz",22292
"4125","harold p warren","harold p warren",22293
"4126","ben lyon","james whale",22301
"4127","beyoncé knowles","jonathan lynn",22309
"4128","akshay kumar","abbas alibhai burmawalla",22315
"4129","paul hogan","simon wincer",22317
"4130","ben stiller","david veloz",22318
"4131","michael brown","tia lessin",22319
"4132","charlie sheen","penelope spheeris",22323
"4133","tim conway","vincent mceveety",22328
"4134","sasha grey","lee demarbre",22335
"4135","kathleen turner","bob clark",22345
"4136","pyotr mamonov","pavel lungin",22358
"4137","george hilton","enzo g castellari",22359
"4138","ray danton","vern piehl",22365
"4139","stefano accorsi","ferzan ozpetek",22373
"4140","orson welles","john hough",22376
"4141","john wayne","john wayne",22377
"4142","mark hamill","steven lisberger",22379
"4143","rock hudson","robert mulligan",22386
"4144","ronald colman","mervyn leroy",22387
"4145","dean martin","norman taurog",22390
"4146","walter pidgeon","fritz lang",22404
"4147","kim anderzon","hans iveberg",22435
"4148","michael caine","john crowley",22447
"4149","lou diamond phillips","charles robert carner",22450
"4150","wim helsen","pieter van hees",22454
"4151","amitabh bachchan","yash chopra",22460
"4152","suzanne reuter","peter dalle",22471
"4153","mia farrow","woody allen",22478
"4154","frank black","steven cantor",22485
"4155","erin cottrell","michael landon jr",22488
"4156","norma shearer","george cukor",22490
"4157","ekaterina guseva","vladimir mirzoyev",22495
"4158","patti smith","steven sebring",22498
"4159","pierre marie escourrou","rené laloux",22500
"4160","jean valmont","rené laloux",22501
"4161","frédéric cerdal","philippe leclerc",22502
"4162","jason ellefson","roy knyrim",22515
"4163","lindsay wagner","frank de felitta",22519
"4164","ryoo seung bum","jo beom jin",22520
"4165","jacques vergès","barbet schroeder",22521
"4166","henry fonda","alfred hitchcock",22527
"4167","bette davis","paul henreid",22543
"4168","jon huertas","daniel myrick",22551
"4169","tom selleck","robert harmon",22555
"4170","anatoly m sagalevitch","james cameron",22559
"4171","maurizio nichetti","bruno bozzetto",22561
"4172","morgan williams","logan mcmillan",22573
"4173","lambert wilson","rené manzor",22578
"4174","marian rivera","mark a reyes",22579
"4175","richard kind","phil roman",22582
"4176","yvette nipar","rich correll",22585
"4177","ben weber","greg berlanti",22597
"4178","clive owen","guy ritchie",22599
"4179","stellan skarsgård","stewart sugg",22615
"4180",NA,"james riffel",22616
"4181","danny aiello","bob giraldi",22617
"4182","robert lepage","robert lepage",22618
"4183","frank welker","brian levant",22620
"4184","liv tyler","james mangold",22621
"4185","thierry lhermitte","claude zidi",22623
"4186","chris o donnell","pat o connor",22625
"4187","george strait","christopher cain",22627
"4188","laurence olivier","laurence olivier",22638
"4189","dick miller","roger corman",22642
"4190","wayne allwine","jamie mitchell",22643
"4191","charles boyer","john cromwell",22657
"4192","dorothy mcguire","robert stevenson",22660
"4193","mischa barton","morgan j freeman",22681
"4194","ginger rogers","albert ray",22689
"4195","ken utsui","teruo ishii",22701
"4196","paul newman","ron shelton",22711
"4197","salman khan","prabhu deva",22717
"4198","claude rains","antonio margheriti",22726
"4199","tor johnson","coleman francis",22727
"4200","lance henriksen","jesse james miller",22745
"4201","wilton graff","ralph brooke",22749
"4202","cathryn caviness","spencer williams",22750
"4203","dean jones","vincent mceveety",22777
"4204","barbara hershey","martin scorsese",22784
"4205","ashley judd","mark steven johnson",22796
"4206","ellen page","drew barrymore",22798
"4207","tantoo cardinal","carl bessai",22812
"4208","jim cummings","roy t wood",22817
"4209","nick cannon","neil abramson",22819
"4210","michael angarano","jared hess",22820
"4211","roberto benigni","roberto benigni",22826
"4212","audrey hepburn","richard quine",22829
"4213","cary grant","stanley donen",22874
"4214","charlie chaplin","charlie chaplin",22892
"4215","kojiro hongo","shigeo tanaka",22899
"4216","robert carlyle","justin kerrigan",22901
"4217","joan allen","richard berge",22905
"4218","matt adler","william phelps",22915
"4219","charles mcgraw","richard fleischer",22924
"4220","sid james","gerald thomas",22937
"4221","89610","mack sennett",22943
"4222","morgan freeman","clint eastwood",22954
"4223","paul rudd","neil labute",22958
"4224","péter rudolf","péter rudolf",22974
"4225","roger daltrey","jeff stein",22984
"4226","john wayne","edward ludwig",22994
"4227","bjarne henriksen","henrik ruben genz",23019
"4228","lyle talbot","edward d wood jr",23020
"4229","franchot tone","fletcher markle",23022
"4230","will rogers","john ford",23024
"4231","anna wintour","r j cutler",23044
"4232","nia vardalos","donald petrie",23049
"4233","patsy garrett","joe camp",23069
"4234","franco nero","ferdinando baldi",23076
"4235","russell peters","alan c blomquist",23077
"4236","dick purcell","jean yarbrough",23104
"4237","faye emerson","robert florey",23107
"4238","özgü namal","abdullah oguz",23112
"4239","freddie bartholomew","john cromwell",23114
"4240","robert newton","byron haskin",23115
"4241","daniel sunjata","dylan avery",23116
"4242","horace b carpenter","dwain esper",23122
"4243","william gargan","william c thomas",23126
"4244","rosario dawson","rob zombie",23127
"4245","j j north","fred olen ray",23142
"4246","maaya sakamoto","ei aoki",23150
"4247","maaya sakamoto","takuya nomura",23151
"4248","maaya sakamoto","mitsuru obunai",23153
"4249","maaya sakamoto","takaaki hirao",23155
"4250","lars rudolph","béla tarr",23160
"4251","maaya sakamoto","takahiro miura",23166
"4252","maaya sakamoto","shinsuke takizawa",23167
"4253","amber valletta","brian levant",23172
"4254","alex pettyfer","jon wright",23173
"4255","susan walters","larry peerce",23178
"4256","tara reid","james d deck",23200
"4257",NA,"juan carlos pineiro escoriaza",23205
"4258","james dresnok","daniel gordon",23207
"4259","will smith","fred schepisi",23210
"4260","peter cushing","terence fisher",23220
"4261","ashley judd","john mcnaughton",23223
"4262","ben mendelsohn","david caesar",23239
"4263","william farnum","a edward sutherland",23253
"4264","47061","jörn donner",23269
"4265","russell howard","russell howard",23270
"4266","carlo verdone","carlo verdone",23273
"4267","buster keaton","buster keaton",23282
"4268","william holden","sam wood",23283
"4269","sofie lassen kahlke","thomas villum jensen",23289
"4270","richard pryor","maurice phillips",23303
"4271","irrfan khan","asif kapadia",23305
"4272","irrfan khan","asif kapadia",23305
"4273","irrfan khan","asif kapadia",23305
"4274","irrfan khan","asif kapadia",23305
"4275","richard pryor","michael schultz",23312
"4276","dean martin","hal walker",23325
"4277","buster crabbe","ford beebe",23331
"4278","jennifer jason leigh","alan rudolph",23333
"4279","walter huston","frank capra",23336
"4280","robert lowery","edward finney",23340
"4281","sam shepard","uli edel",23356
"4282","mark mobius","erwin wagenhofer",23368
"4283","mahesh babu","puri jagannath",23381
"4284","thomas jane","thomas jane",23382
"4285","laurence olivier","laurence olivier",23383
"4286","dean jagger","victor halperin",23389
"4287","myrna loy","lewis milestone",23395
"4288","dolph lundgren","dolph lundgren",23404
"4289","greg lauren","kristen coury",23423
"4290","james vasquez","carrie preston",23427
"4291","dustin belt","greg osborne",23431
"4292","silvio berlusconi","erik gandini",23451
"4293","scott plank","gill dennis",23476
"4294","walter matthau","michael ritchie",23479
"4295","zack bazzi","deborah scranton",23495
"4296",NA,"noboru ishiguro",23504
"4297","ray sager","herschell gordon lewis",23506
"4298","carlo verdone","giovanni veronesi",23509
"4299","clive owen","scott hicks",23512
"4300","dore mann","ronald bronstein",23516
"4301","wesley snipes","david carson",23520
"4302",NA,"chuck jones",23521
"4303",NA,"ken loach",23523
"4304","ingrid backstrom","mark obenhaus",23524
"4305","jack webb","jack webb",23525
"4306","amanda peet","peter m cohen",23531
"4307","dameon clarke","luke ricci",23532
"4308","bradley gregg","mark l lester",23535
"4309","kelly sheridan","william lau",23566
"4310","david schwimmer","matt reeves",23570
"4311","robert forster","william lustig",23587
"4312","a j buckley","oliver robins",23594
"4313","rutger hauer","gary sherman",23599
"4314","adam scott","sean mcginly",23604
"4315","shin hyun joon","jang jin",23609
"4316","lewis smith","cary medoway",23614
"4317","anthony andrews","clive donner",23615
"4318","steve harvey","spike lee",23618
"4319","claudio bisio","giulio manfredonia",23619
"4320","ulf brunnberg","hans åke gabrielsson",23654
"4321","hamish linklater","greg harrison",23655
"4322","paul newman","daniel petrie",23668
"4323","markku peltola","aki kaurismäki",23676
"4324","kay lenz","robert day",23692
"4325","peter falk","raymond de felitta",23703
"4326","ulrich thomsen","stephen whittaker",23704
"4327","scott wiper","scott wiper",23705
"4328","naseeruddin shah","shoaib mansoor",23717
"4329","nicolas cage","george gallo",23719
"4330","mark duplass","lynn shelton",23720
"4331","david bjergsø","anders riis hansen",23729
"4332","christian slater","tibor takács",23736
"4333","christopher eccleston","alex cox",23750
"4334","707","michael ritchie",23752
"4335","julia jäger","jochen alexander freydank",23764
"4336","ajith kumar","vishnuvardhan",23767
"4337","ram charan","s s rajamouli",23790
"4338","bill hicks","rupert edwards",23802
"4339","richard pryor","richard donner",23805
"4340","dmitriy pevtsov","aleksandr efremov",23808
"4341","adam baldwin","david flores",23816
"4342","paget brewster","ishai setton",23817
"4343","napoleon murphy brock","don argott",23825
"4344","jang hyuk","kim tae gyun",23834
"4345","michael parks","giacomo martelli",23843
"4346","anthony quinn","barry shear",23847
"4347","cary elwes","valerie mccaffrey",23853
"4348","adam garcia","mick jackson",23855
"4349","marc paquet","daniel roby",23857
"4350","irina pegova","aleksey uchitel",23898
"4351","frank welker","norton virgien",23903
"4352","dan monahan","james komack",23919
"4353","gregory peck","raoul walsh",23928
"4354","scott baio","robert j rosenthal",23943
"4355","uma thurman","richard linklater",23949
"4356",NA,"gary hustwit",23951
"4357","werner herzog","werner herzog",23965
"4358",NA,"marc h simon",23976
"4359",NA,"matthew barney",23985
"4360",NA,"matthew barney",23986
"4361","diora baird","bo zenga",23988
"4362","asia argento","asia argento",23990
"4363","ken bradshaw","philip boston",23995
"4364","girl talk","brett gaylor",23996
"4365",NA,"james d stern",23997
"4366","jamie e smith","bill melendez",23998
"4367","alison steadman","mike leigh",23999
"4368","barbara stanwyck","fritz lang",24003
"4369","charles laughton","henry hathaway",24006
"4370","karolina gruszka","david lynch",24007
"4371","cary grant","howard hawks",24008
"4372","marilyn monroe","laurence olivier",24012
"4373","marilyn monroe","george cukor",24014
"4374","debra winger","bernardo bertolucci",24016
"4375","bela lugosi","edward d wood jr",24018
"4376","brandon baker","steve boyum",24020
"4377","jakob eklund","anders nilsson",24023
"4378","jakob eklund","anders nilsson",24023
"4379","jakob eklund","anders nilsson",24023
"4380","jakob eklund","anders nilsson",24023
"4381","jakob eklund","richard holm",24025
"4382","jakob eklund","anders nilsson",24026
"4383","jakob eklund","anders nilsson",24026
"4384","jakob eklund","anders nilsson",24026
"4385","jakob eklund","anders nilsson",24026
"4386","john denver","carl reiner",24032
"4387","kim myung min","lee sang gi",24037
"4388","gary graham","kenneth johnson",24047
"4389","eriq ebouaney","david gleeson",24048
"4390","mark webber","stephen berra",24050
"4391","cuba gooding jr","ernie barbarash",24051
"4392","mark duplass","jay duplass",24055
"4393","annette crosbie","jean flynn",24057
"4394","dylan baker","ryan eslinger",24059
