"","Actor","Director","id"
"171","russell crowe","ron howard",453
"172","jane fonda","alan j pakula",466
"173","sean penn","alejandro gonzález iñárritu",470
"174","sean gullette","darren aronofsky",473
"175","warren beatty","arthur penn",475
"176","matt dillon","gus van sant",476
"177","naseeruddin shah","mira nair",480
"178","richard roundtree","gordon parks",482
"179","robin williams","gus van sant",489
"180","max von sydow","ingmar bergman",490
"181","7565","agnès varda",499
"182","harvey keitel","quentin tarantino",500
"183","mickey rourke","walter hill",505
"184","jack nicholson","miloš forman",510
"185","nandita das","deepa mehta",513
"186","ray milland","alfred hitchcock",521
"187","johnny depp","tim burton",522
"188","robert de niro","martin scorsese",524
"189","matthew broderick","richard donner",526
"190","peter sallis","nick park",530
"191","peter sallis","nick park",531
"192","peter sallis","nick park",532
"193","jennifer beals","adrian lyne",535
"194","frank sinatra","otto preminger",541
"195","gael garcía bernal","carlos carrera",542
"196","robert redford","robert redford",547
"197","anni kristiina juuso","aleksandr rogozhkin",554
"198","joan bennett","fritz lang",560
"199","bruce willis","john mctiernan",562
"200","james stewart","alfred hitchcock",567
"201","anaïs reboux","catherine breillat",570
"202","jon finch","alfred hitchcock",573
"203","677","oliver hirschbiegel",575
"204","nicole kidman","gus van sant",577
"205","roy scheider","steven spielberg",578
"206","roy scheider","jeannot szwarc",579
"207","kevin costner","kevin costner",581
"208","dustin hoffman","barry levinson",586
"209","nicole kidman","stephen daldry",590
"210","gregory peck","robert mulligan",595
"211","henry fonda","john ford",596
"212","alexandre rodrigues","fernando meirelles",598
"213","henry thomas","steven spielberg",601
"214","keanu reeves","lilly wachowski",605
"215","tommy lee jones","barry sonnenfeld",607
"216","craig t nelson","tobe hooper",609
"217","matt dillon","john mcnaughton",617
"218","bill murray","ivan reitman",620
"219","johnny depp","roman polanski",622
"220","sam waterston","roland joffé",625
"221","ewan mcgregor","danny boyle",627
"222","stephen baldwin","bryan singer",629
"223","judy garland","victor fleming",630
"224","paul newman","george roy hill",642
"225","aleksandr antonov","sergei m eisenstein",643
"226","donald sutherland","robert altman",651
"227","max schreck","f w murnau",653
"228","marlon brando","elia kazan",654
"229","sean connery","terence young",657
"230","sean connery","guy hamilton",658
"231","mario adorf","volker schlöndorff",659
"232","hanna schygulla","rainer werner fassbinder",661
"233","charlton heston","william wyler",665
"234","george lazenby","peter r hunt",668
"235","daniel radcliffe","chris columbus",671
"236","robert mitchum","jacques tourneur",678
"237","sigourney weaver","james cameron",679
"238","john travolta","quentin tarantino",680
"239","sean connery","guy hamilton",681
"240","roger moore","guy hamilton",682
"241","jodie foster","robert zemeckis",686
"242","meryl streep","clint eastwood",688
"243","roger moore","lewis gilbert",691
"244","divine","john waters",692
"245","jack nicholson","stanley kubrick",694
"246","woody allen","woody allen",696
"247","buster keaton","buster keaton",701
"248","vivien leigh","elia kazan",702
"249","woody allen","woody allen",703
"250","john lennon","richard lester",704
"251","roger moore","john glen",707
"252","pierce brosnan","martin campbell",710
"253","hugh grant","mike newell",712
"254","holly hunter","jane campion",713
"255","pierce brosnan","roger spottiswoode",714
"256","john lone","bernardo bertolucci",746
"257","gena rowlands","john cassavetes",753
"258","george clooney","robert rodriguez",755
"259","graham chapman","terry gilliam",762
"260","tim balme","peter jackson",763
"261","robert de niro","martin scorsese",769
"262","vivien leigh","victor fleming",770
"263",NA,"louis lumière",774
"264","ethan hawke","andrew niccol",782
"265","robin williams","chris columbus",788
"266","adrienne barbeau","john carpenter",790
"267","tom berenger","oliver stone",792
"268","isabella rossellini","david lynch",793
"269","sarah michelle gellar","roger kumble",796
"270","james mason","stanley kubrick",802
"271","gregory peck","william wyler",804
"272","robert hays","jim abrahams",813
"273","david naughton","john landis",814
"274","mike myers","jay roach",816
"275","mike myers","jay roach",818
"276","robert de niro","barry levinson",819
"277","spencer tracy","stanley kramer",821
"278","yoshikatsu fujiki","hiroyuki okiura",823
"279","12282","robert wise",828
"280","jack nicholson","roman polanski",829
"281","walter pidgeon","fred m wilcox",830
"282","peter lorre","fritz lang",832
"283","james woods","david cronenberg",837
"284","richard dreyfuss","george lucas",838
"285","dennis weaver","steven spielberg",839
"286","tony leung chiu wai","wong kar wai",843
"287","farley granger","alfred hitchcock",845
"288","warwick davis","ron howard",847
"289","peter macnicol","matthew robbins",848
"290","melinda dillon","bob clark",850
"291","bob hoskins","robert zemeckis",856
"292","tom hanks","nora ephron",858
"293","glenn close","stephen frears",859
"294","arnold schwarzenegger","paul verhoeven",861
"295","tom hanks","john lasseter",862
"296","sharon stone","phillip noyce",867
"297","charlton heston","franklin j schaffner",871
"298","whoopi goldberg","steven spielberg",873
"299","marlene dietrich","josef von sternberg",875
"300","robin williams","steven spielberg",879
"301","willeke van ammelrooy","marleen gorris",880
"302","james spader","david cronenberg",884
"303","george bancroft","josef von sternberg",885
"304","dominique pinon","jean pierre jeunet",892
"305","<U+0430><U+043D><U+0430><U+0442><U+043E><U+043B><U+0456><U+0439> <U+0441><U+043E><U+043B><U+043E><U+043D><U+0456><U+0446><U+0438><U+043D>","andrei tarkovsky",895
"306","kanu bannerjee","satyajit ray",897
"307","katharine hepburn","howard hawks",900
"308","charlie chaplin","charlie chaplin",901
"309","ron perlman","jean pierre jeunet",902
"310","omar sharif","david lean",907
"311","judy garland","vincente minnelli",909
"312","w c fields","edward f cline",911
