"","original_title","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1"
"21","3daystokill",192102,2014-02-14,52597999,2.8e+07,113,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"kevincostner","mcg",1,0,0,1,"1",1
"22","3generations",300667,2016-02-11,443962,5e+06,87,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ellefanning","gabydellal",2,0,0,0,"1",0
"23","3strikes",47816,2000-03-01,9e+06,6e+06,82,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"brianhooks","djpooh",0,1,10229331,1,"1",1
"24","42",109410,2013-04-12,95020213,4e+07,128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"chadwickboseman","brianhelgeland",1,0,0,1,"2",1
"25","45years",311291,2015-08-28,4250507,24078133.8007948,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"charlotterampling","andrewhaigh",0,0,0,0,"3",0
"26","47ronin",64686,2013-12-06,150962475,1.75e+08,119,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"keanureeves","carlrinsch",2,0,0,1,"4",0
"27","49up",13365,2005-09-15,238073,24078133.8007948,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"brucebalden","michaelapted",0,0,0,0,"3",0
"28","50to1",197583,2014-03-21,1064454,1e+07,110,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"skeetulrich","jimwilson",0,0,0,1,"1",0
"29","55daysatpeking",27759,1963-05-06,1e+07,1.7e+07,154,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"charltonheston","nicholasray",2,0,0,1,"2",0
"30","71",252178,2014-10-10,1625847,24078133.8007948,99,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,"jackoconnell","yanndemange",0,0,0,0,"4",0
"31","8mile",65,2002-11-08,2.15e+08,4.1e+07,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"eminem","curtishanson",0,1,83073883,1,"4",1
"32","8mm",8224,1999-02-26,96618699,4e+07,123,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"nicolascage","joelschumacher",3,2,67547213,1,"1",1
"33","95milestogo",79163,2006-04-07,2203,24078133.8007948,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rayromano","tomcaltabiano",2,0,0,0,"2",0
"34","99homes",283235,2014-10-09,1411927,8e+06,112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"andrewgarfield","raminbahrani",0,0,0,0,"4",0
"35","9ÒÄÒÇ",14097,2005-09-19,2.4e+07,9500000,139,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,"alekseychadov","fyodorbondarchuk",2,0,0,0,"3",1
"36","9songs",27,2004-07-16,1574623,1e+06,66,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"kieranobrien","michaelwinterbottom",0,2,19880050,0,"3",1
"37","‰",11645,1985-06-01,4069653,11500000,162,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"akiraterao","akirakurosawa",0,0,0,0,"2",0
"38","Âñ„Å‰ö„Å„Éù„Éã„É",12429,2008-07-19,187479518,41677699,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yurianara","hayaomiyazaki",0,0,0,0,"3",1
"39","‡ó‡ã‡‡ç‡‡‡‡",134474,1991-03-03,7e+05,18000,150,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"nnpillai","lal",0,0,0,0,"1",1
"40","‡ó‡ç‡‡‡‡ç‚Äç‡‡ç‡‡‡‡ç‡‡ç‡‡‡ç‚Äç",105506,2012-05-03,130000,120000,130,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"mohanlal","bunnikrishnan",1,0,0,0,"2",1
"41","Â†iÂanje",57186,2010-10-06,198,5e+05,97,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"nikolarakocevic","stevanfilipovic",0,0,0,0,"4",0
"42","ÂàÜÊâãÂÂà",270724,2014-06-27,106640000,24078133.8007948,114,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dengchao","dengchao",0,0,0,0,"2",1
"43","ÂàÂËÅÈöÂò",253450,2015-08-27,632542,1.5e+07,105,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"shuqi","houhsiaohsien",0,0,0,0,"3",0
"44","„Çã„Çç„ÅÜ„ÅÂâÂÉ",127533,2012-08-25,61700000,24078133.8007948,134,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"takerusatoh","keishiohtomo",0,0,0,0,"3",1
"45","„Ç„Ç„Ç2‰ÁîˇÂÂõû„Ç„É„É†",106417,2011-11-05,15,24078133.8007948,133,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"tatsuyafujiwara","tÙyasatÙ",0,0,0,0,"4",0
"46","„Ç„Ç„Ç„É„Éñ„Éâ„É„Å‰ùËò",118408,2012-07-07,2,24078133.8007948,106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"shunoguri","gisaburosugii",1,0,0,0,"3",0
"47","„Ç„Ç„É",149,1988-07-16,553171,8e+06,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"mitsuoiwata","katsuhirootomo",0,0,0,0,"3",0
"48","„Ç„É„Ç",36095,1997-11-06,99000,20000,111,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,"kojiyakusho","kiyoshikurosawa",1,0,0,0,"4",1
"49","„Ç„É„Ç„Ç„Ç„É„Ç„Éñ„Éï„Ç„Ç„Éö„É„Éï„Ç„É„Ç„Ç„Éxv",390734,2016-07-09,269980,24078133.8007948,115,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,"goayano","takeshinozue",0,0,0,0,"3",0
"50","„Ç„É„Ç„Éà„ÇÇ„ÅÜ„ÅÑ„Å„ÅÊö„Åç„Åó„ÇÅ„Åˇ„ÅÑ",138853,2010-11-13,9833553,24078133.8007948,116,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"nanakomatsushima","tarÙohtani",0,0,0,0,"4",0
"51","„Ç„É„Éó„ÉÜ„É„Éè„É„É„ÉÉ„Ç",192577,2013-09-07,17137302,3e+07,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"shunoguri","shinjiaramaki",0,0,0,0,"3",0
"52","„Ç„É„É„Ç„Ç„É",315011,2016-07-29,7.7e+07,1.5e+07,120,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,"hirokihasegawa","hideakianno",0,0,0,0,"3",1
"53","‡ì‡ï‡‡‡‡ç‡ï‡‡ç‡‡‡",329135,2015-04-17,5100000,940000,138,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"dulquersalmaan","maniratnam",0,0,0,0,"2",1
"54","„înibus174",8439,2002-10-22,217201,24078133.8007948,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"yvonnebezerrademello","josÈpadilha",0,1,242688965,0,"4",0
"55","‰ÄÂÄãÂ‰",10622,1997-01-31,18814720,12716953,113,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"jackiechan","sammohung",5,0,0,0,"1",1
"56","‰ÄÂÄã‰ÁöÑÊÊûó",290864,2014-10-31,129115,2.5e+07,100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"donnieyen","teddychan",0,0,0,0,"4",0
"57","‰Ä‰ÂóÂ",44865,2013-01-08,64076736,3860000,130,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"tonyleungchiuwai","wongkarwai",0,0,0,0,"1",1
"58","„Älafoliepasdutout",12112,2002-03-27,5126264,24078133.8007948,92,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"audreytautou","laetitiacolombani",0,0,0,0,"1",0
"59","‡Ö‡‡á‡‡‡‡‡á",19703,2008-09-05,3500000,1400000,103,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"anupamkher","neerajpandey",0,0,0,0,"3",1
"60","‡Ö‡‡‡‡ú‡‡",897,1956-10-11,170215,24078133.8007948,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"kanubannerjee","satyajitray",0,0,0,0,"4",0
"61","‡Ü‡ï‡ç‡‡‡‡Ä‡‡ã‡‡‡ú‡Å",381374,2016-02-04,2500000,3e+05,144,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"nivinpauly","abridshine",0,0,0,0,"1",1
"62","‡ï‡â‡‡‡‡Å‡‡â‡á2",110552,2013-10-23,3302463,24078133.8007948,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"tonyjaa","prachyapinkaew",0,0,0,0,"4",0
"63","‡ï‡‡Ä‡Ö‡‡‡‡‡‡‡‡ï‡‡‡",14395,2006-08-11,1.7e+07,7400000,193,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"shahrukhkhan","karanjohar",2,1,1.1e+07,0,"3",1
"64","‡ï‡‡ï",280690,2014-07-25,5.5e+07,2.2e+07,146,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"salmankhan","sajidnadiadwala",0,0,0,0,"3",1
