"","X","budget","runtime","comedy","family","adventure","drama","history","horror","documentary","actorMovieCount","directorMovieCount","domestic","newyearsday","presidentsday","christmaseve","newyearsdayobserved","DirectorEarnings","success_1_to_1"
"69",69,24078133.8007948,116,1,0,0,1,0,0,0,1,1,0,0,0,0,0,47,0
"70",70,24078133.8007948,116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"71",71,1.5e+07,125,0,1,1,0,0,0,0,0,1,0,0,0,0,0,187479518,1
"72",72,7500000,107,0,0,0,1,0,0,0,0,1,0,0,0,1,0,95311434,0
"73",73,1e+07,89,1,0,0,0,0,0,0,9,4,0,0,0,0,0,132336594,0
"74",74,224056,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"75",75,10400000,161,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"76",76,79000,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"77",77,1050255,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"78",78,5e+05,157,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"79",79,5900000,161,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"80",80,2200000,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"81",81,24078133.8007948,95,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"82",82,5e+05,157,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"83",83,440141,160,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1458709,1
"84",84,75,129,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3.1e+07,1
"85",85,6700000,143,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"86",86,350000,151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"87",87,521873,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"88",88,3700000,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"89",89,4e+06,160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"90",90,24078133.8007948,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"91",91,560000,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"92",92,24078133.8007948,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"93",93,2.5e+07,99,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"94",94,24078133.8007948,125,0,0,0,0,0,1,0,0,1,0,0,0,0,0,28281,0
"95",95,24078133.8007948,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"96",96,24078133.8007948,105,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"97",97,12500000,100,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
"98",98,3e+07,125,1,0,0,1,0,0,0,0,1,1,0,0,0,0,17654912,1
"99",99,7500000,99,0,0,1,1,0,0,0,5,2,0,0,0,0,0,525438899,1
"100",100,2.2e+07,121,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0
"101",101,1.2e+07,116,0,0,0,1,0,0,0,2,2,0,0,0,0,0,447448367,1
"102",102,24078133.8007948,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",103,24078133.8007948,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"104",104,5e+07,121,0,0,0,1,0,0,0,4,13,1,0,0,0,0,1623280963,1
"105",105,1900000,102,1,0,0,1,0,0,0,0,4,0,1,0,0,0,369322136,0
"106",106,1821052,111,0,0,0,1,0,0,0,2,2,0,0,0,0,0,11500000,0
"107",107,1.5e+07,86,1,0,0,0,0,0,0,6,1,1,0,0,0,0,128769345,1
"108",108,3e+07,90,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1
"109",109,24078133.8007948,113,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
"110",110,24078133.8007948,94,1,1,0,0,0,0,0,0,4,1,0,0,0,0,55078470,0
"111",111,2200000,136,0,0,0,1,0,0,0,1,1,0,0,0,0,0,44017374,1
"112",112,24078133.8007948,88,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"113",113,3500000,113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"114",114,290000,85,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"115",115,24078133.8007948,82,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"116",116,7e+06,96,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"117",117,4e+07,146,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"118",118,1.5e+07,99,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1338365,1
"119",119,24078133.8007948,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"120",120,24078133.8007948,94,1,1,0,0,0,0,0,0,3,1,0,0,0,0,762306606,1
"121",121,24078133.8007948,100,1,0,0,0,0,0,0,1,1,0,0,0,0,0,22707064,1
"122",122,1.3e+07,107,1,0,0,1,0,0,0,2,1,1,0,0,0,0,7087452,1
"123",123,2.2e+07,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"124",124,24078133.8007948,135,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"125",125,24078133.8007948,129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"126",126,4e+07,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
