"","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1","numOfHolidays","newyearsday","martinlutherkingjrday","valentinesday","presidentsday","goodfriday","mothersday","memorialday","fathersday","independenceday","laborday","columbusday","veteransday","thanksgivingday","christmaseve","christmasday","independencedayobserved","christmasdayobserved","newyearsdayobserved","christmaseveobserved","veteransdayobserved","related_holiday"
"23",109410,"2013-04-12",95020213,4e+07,128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"chadwickboseman","brianhelgeland",1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"24",311291,"2015-08-28",4250507,24078133.8007948,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"charlotterampling","andrewhaigh",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"27",197583,"2014-03-21",1064454,1e+07,110,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"skeetulrich","jimwilson",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"28",27759,"1963-05-06",1e+07,1.7e+07,154,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"charltonheston","nicholasray",2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"29",252178,"2014-10-10",1625847,24078133.8007948,99,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,"jackoconnell","yanndemange",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"None"
"30",65,"2002-11-08",2.15e+08,4.1e+07,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"eminem","curtishanson",0,1,83073883,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"None"
"31",8224,"1999-02-26",96618699,4e+07,123,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"nicolascage","joelschumacher",3,2,67547213,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"32",79163,"2006-04-07",2203,24078133.8007948,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rayromano","tomcaltabiano",2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"33",283235,"2014-10-09",1411927,8e+06,112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"andrewgarfield","raminbahrani",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"34",14097,"2005-09-19",2.4e+07,9500000,139,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,"alekseychadov","fyodorbondarchuk",2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"35",27,"2004-07-16",1574623,1e+06,66,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"kieranobrien","michaelwinterbottom",0,2,19880050,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"36",11645,"1985-06-01",4069653,11500000,162,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"akiraterao","akirakurosawa",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"37",12429,"2008-07-19",187479518,41677699,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yurianara","hayaomiyazaki",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"38",134474,"1991-03-03",7e+05,18000,150,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"nnpillai","lal",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"39",105506,"2012-05-03",130000,120000,130,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"mohanlal","bunnikrishnan",1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"40",57186,"2010-10-06",198,5e+05,97,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"nikolarakocevic","stevanfilipovic",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"41",270724,"2014-06-27",106640000,24078133.8007948,114,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dengchao","dengchao",0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"42",253450,"2015-08-27",632542,1.5e+07,105,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"shuqi","houhsiaohsien",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"43",127533,"2012-08-25",61700000,24078133.8007948,134,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"takerusatoh","keishiohtomo",0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"44",106417,"2011-11-05",15,24078133.8007948,133,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"tatsuyafujiwara","tôyasatô",0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"45",118408,"2012-07-07",2,24078133.8007948,106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"shunoguri","gisaburosugii",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"None"
"46",149,"1988-07-16",553171,8e+06,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"mitsuoiwata","katsuhirootomo",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"47",36095,"1997-11-06",99000,20000,111,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,"kojiyakusho","kiyoshikurosawa",1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"48",390734,"2016-07-09",269980,24078133.8007948,115,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,"goayano","takeshinozue",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"49",138853,"2010-11-13",9833553,24078133.8007948,116,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"nanakomatsushima","tarôohtani",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"None"
"50",192577,"2013-09-07",17137302,3e+07,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"shunoguri","shinjiaramaki",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"51",315011,"2016-07-29",7.7e+07,1.5e+07,120,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,"hirokihasegawa","hideakianno",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"52",329135,"2015-04-17",5100000,940000,138,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"dulquersalmaan","maniratnam",0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"53",8439,"2002-10-22",217201,24078133.8007948,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"yvonnebezerrademello","josépadilha",0,1,242688965,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"54",10622,"1997-01-31",18814720,12716953,113,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"jackiechan","sammohung",5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"55",290864,"2014-10-31",129115,2.5e+07,100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"donnieyen","teddychan",0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"56",44865,"2013-01-08",64076736,3860000,130,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"tonyleungchiuwai","wongkarwai",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"57",12112,"2002-03-27",5126264,24078133.8007948,92,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"audreytautou","laetitiacolombani",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"58",19703,"2008-09-05",3500000,1400000,103,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"anupamkher","neerajpandey",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"59",897,"1956-10-11",170215,24078133.8007948,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"kanubannerjee","satyajitray",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"60",381374,"2016-02-04",2500000,3e+05,144,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"nivinpauly","abridshine",0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
